show_id,director_1,director_2,director_3,director_4,director_5,director_6,director_7,director_8,director_9,director_10,director_11,director_12,director_13
s153,Brett Weiner,null,null,null,null,null,null,null,null,null,null,null,null
s154,null,null,null,null,null,null,null,null,null,null,null,null,null
s155,null,null,null,null,null,null,null,null,null,null,null,null,null
s156,Jim Henson,null,null,null,null,null,null,null,null,null,null,null,null
s157,Gary Winick,null,null,null,null,null,null,null,null,null,null,null,null
s158,Danishka Esterhazy,null,null,null,null,null,null,null,null,null,null,null,null
s159,Troy Byer,null,null,null,null,null,null,null,null,null,null,null,null
s160,Pang Ho-cheung,null,null,null,null,null,null,null,null,null,null,null,null
s161,null,null,null,null,null,null,null,null,null,null,null,null,null
s162,Tim Burton,null,null,null,null,null,null,null,null,null,null,null,null
s163,Reginald Hudlin,null,null,null,null,null,null,null,null,null,null,null,null
s164,David Zucker,null,null,null,null,null,null,null,null,null,null,null,null
s165,Kinka Usher,null,null,null,null,null,null,null,null,null,null,null,null
s166,null,null,null,null,null,null,null,null,null,null,null,null,null
s167,Sergio Leone,null,null,null,null,null,null,null,null,null,null,null,null
s168,Matthew O'Callaghan,Todd Wilderman,null,null,null,null,null,null,null,null,null,null,null
s169,Bobby Farrelly,Peter Farrelly,null,null,null,null,null,null,null,null,null,null,null
s170,Wolfgang Petersen,null,null,null,null,null,null,null,null,null,null,null,null
s171,Peter Spirer,null,null,null,null,null,null,null,null,null,null,null,null
s172,Michael Carney,null,null,null,null,null,null,null,null,null,null,null,null
s173,Richard Linklater,null,null,null,null,null,null,null,null,null,null,null,null
s174,Amy Rice,null,null,null,null,null,null,null,null,null,null,null,null
s175,Antoine Fuqua,null,null,null,null,null,null,null,null,null,null,null,null
s176,Randal Kleiser,null,null,null,null,null,null,null,null,null,null,null,null
s177,Michael Ritchie,null,null,null,null,null,null,null,null,null,null,null,null
s178,J. Lee Thompson,null,null,null,null,null,null,null,null,null,null,null,null
s179,Evan Goldberg,Seth Rogen,null,null,null,null,null,null,null,null,null,null,null
s180,Tom Shadyac,null,null,null,null,null,null,null,null,null,null,null,null
s181,Peter Segal,null,null,null,null,null,null,null,null,null,null,null,null
s182,null,null,null,null,null,null,null,null,null,null,null,null,null
s183,Malcolm D. Lee,null,null,null,null,null,null,null,null,null,null,null,null
s184,Wolfgang Petersen,null,null,null,null,null,null,null,null,null,null,null,null
s185,null,null,null,null,null,null,null,null,null,null,null,null,null
s186,Chapman Way,Maclain Way,null,null,null,null,null,null,null,null,null,null,null
s187,null,null,null,null,null,null,null,null,null,null,null,null,null
s188,null,null,null,null,null,null,null,null,null,null,null,null,null
s189,Ramzy Bedia,Éric Judor,null,null,null,null,null,null,null,null,null,null,null
s190,null,null,null,null,null,null,null,null,null,null,null,null,null
s191,Sharan Koppisetty,null,null,null,null,null,null,null,null,null,null,null,null
s192,Taylor Sheridan,null,null,null,null,null,null,null,null,null,null,null,null
s193,Sachin Yardi,null,null,null,null,null,null,null,null,null,null,null,null
s194,null,null,null,null,null,null,null,null,null,null,null,null,null
s195,null,null,null,null,null,null,null,null,null,null,null,null,null
s196,Saurabh Kabra,null,null,null,null,null,null,null,null,null,null,null,null
s197,Mark Waters,null,null,null,null,null,null,null,null,null,null,null,null
s198,null,null,null,null,null,null,null,null,null,null,null,null,null
s199,Kemi Adetiba,null,null,null,null,null,null,null,null,null,null,null,null
s200,Partho Mitra,null,null,null,null,null,null,null,null,null,null,null,null
s201,Santram Varma,null,null,null,null,null,null,null,null,null,null,null,null
s202,Anil V. Kumar,Anurag Basu,null,null,null,null,null,null,null,null,null,null,null
